"GenBank_ID","Country","State","City","Serotype","Date","Decimal_Date","Sequence_name"
"GU721068.1","China","Zhejiang","NA","Dengue_3","2009-09-15","2009.70410958904","GU721068.1|China|Zhejiang|NA|Dengue_3|2009-09-15|2009.70410958904"
"GU721069.1","China","Zhejiang","NA","Dengue_3","2009-09-15","2009.70410958904","GU721069.1|China|Zhejiang|NA|Dengue_3|2009-09-15|2009.70410958904"
"HE800554.1","Thailand","NA","NA","Dengue_3","2012-06-15","2012.45205479452","HE800554.1|Thailand|NA|NA|Dengue_3|2012-06-15|2012.45205479452"
"GQ868626.1","Cambodia","PHP","NA","Dengue_3","2001-06-15","2001.45205479452","GQ868626.1|Cambodia|PHP|NA|Dengue_3|2001-06-15|2001.45205479452"
"GQ868627.1","Cambodia","KCH","NA","Dengue_3","2002-06-15","2002.45205479452","GQ868627.1|Cambodia|KCH|NA|Dengue_3|2002-06-15|2002.45205479452"
"GQ868628.1","Cambodia","BTB","NA","Dengue_3","2005-06-15","2005.45205479452","GQ868628.1|Cambodia|BTB|NA|Dengue_3|2005-06-15|2005.45205479452"
"GQ868629.1","Cambodia","PHP","NA","Dengue_3","2005-06-15","2005.45205479452","GQ868629.1|Cambodia|PHP|NA|Dengue_3|2005-06-15|2005.45205479452"
"GQ868634.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GQ868634.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131903.1","Cambodia","BMC","NA","Dengue_3","2008-06-15","2008.45205479452","GU131903.1|Cambodia|BMC|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU131904.1","Cambodia","KCH","NA","Dengue_3","2005-06-15","2005.45205479452","GU131904.1|Cambodia|KCH|NA|Dengue_3|2005-06-15|2005.45205479452"
"GU131905.1","Cambodia","KCH","NA","Dengue_3","2008-06-15","2008.45205479452","GU131905.1|Cambodia|KCH|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU131906.1","Cambodia","KSO","NA","Dengue_3","2003-06-15","2003.45205479452","GU131906.1|Cambodia|KSO|NA|Dengue_3|2003-06-15|2003.45205479452"
"GU131907.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131907.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131908.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131908.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131909.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131909.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131910.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131910.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131911.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131911.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131912.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131912.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131913.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131913.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131914.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131914.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131915.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131915.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131916.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131916.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131917.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131917.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131918.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131918.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131933.1","Cambodia","KCH","NA","Dengue_3","2006-06-15","2006.45205479452","GU131933.1|Cambodia|KCH|NA|Dengue_3|2006-06-15|2006.45205479452"
"GU131934.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131934.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131935.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131935.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131936.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131936.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131937.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131937.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131938.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131938.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131939.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131939.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
"GU131940.1","Cambodia","KCH","NA","Dengue_3","2007-06-15","2007.45205479452","GU131940.1|Cambodia|KCH|NA|Dengue_3|2007-06-15|2007.45205479452"
